InvoiceID,CustomerID,Gender,Age,ProductCategory,ProductID,Quantity,PricePerUnit,PurchaseDate,StoreLocation,PaymentMethod,TotalPrice
INV1000,108,Female,45,Electronics,1041,5,41.27,12-06-2023,Phoenix,Cash,206.35
INV1001,124,Female,63,Toys,1057,5,356.31,24-02-2023,Houston,Debit Card,1781.55
INV1002,167,Female,53,Grocery,1058,3,400.49,04-09-2023,Los Angeles,Debit Card,1201.47
INV1003,203,Female,53,Electronics,1095,5,244.44,13-11-2023,Chicago,Credit Card,1222.2
INV1004,187,Male,61,Electronics,1003,7,795.58,09-02-2023,Los Angeles,Debit Card,5569.06
INV1005,179,Female,33,Furniture,1060,5,537.48,24-07-2023,Los Angeles,Credit Card,2687.4
INV1006,276,Male,27,Furniture,1070,1,605.06,19-07-2023,Phoenix,Debit Card,605.06
INV1007,238,Female,57,Furniture,1059,5,252.93,10-12-2023,Phoenix,Credit Card,1264.65
INV1008,194,Female,64,Grocery,1069,5,192.08,08-08-2023,Los Angeles,Mobile Payment,960.4
INV1009,280,Female,37,Electronics,1099,2,285.77,20-08-2023,New York,Credit Card,571.54
INV1010,198,Male,62,Furniture,1008,5,109.37,26-04-2023,Phoenix,Credit Card,546.85
INV1011,153,Female,23,Toys,1045,1,253.23,12-07-2023,Los Angeles,Credit Card,253.23
INV1012,166,Male,47,Clothing,1023,1,126.22,18-04-2023,New York,Mobile Payment,126.22
INV1013,114,Female,23,Toys,1074,4,84.52,30-10-2023,Los Angeles,Credit Card,338.08
INV1014,134,Male,28,Clothing,1047,4,323.44,10-09-2023,Los Angeles,Credit Card,1293.76
INV1015,124,Male,26,Furniture,1087,3,150.28,28-01-2023,Phoenix,Credit Card,450.84
INV1016,243,Female,36,Grocery,1014,3,288.74,28-06-2023,Los Angeles,Credit Card,866.22
INV1017,207,Male,40,Electronics,1000,3,475.21,07-08-2023,New York,Credit Card,1425.63
INV1018,160,Male,41,Clothing,1054,5,389.71,01-10-2023,Los Angeles,Mobile Payment,1948.55
INV1019,158,Female,43,Grocery,1001,5,268.06,06-08-2023,Chicago,Credit Card,1340.3
INV1020,244,Male,64,Toys,1075,4,650.84,15-03-2023,New York,Credit Card,2603.36
INV1021,237,Female,55,Clothing,1053,5,579.7,27-08-2023,Chicago,Mobile Payment,2898.5
INV1022,193,Female,24,Electronics,1072,2,791.21,07-12-2023,New York,Credit Card,1582.42
INV1023,186,Male,60,Toys,1078,3,503.46,04-07-2023,Phoenix,Cash,1510.38
INV1024,230,Female,47,Grocery,1011,1,311.71,05-04-2023,New York,Mobile Payment,311.71
